City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
173,Constitucion,CL,-35.3333,-72.4167,55.44,71,100,11.32,overcast clouds
174,Hambantota,LK,6.1241,81.1185,78.93,77,100,21.09,overcast clouds
175,Lam Luk Ka,TH,13.9323,100.7494,82.0,98,75,0.0,broken clouds
176,Lichinga,MZ,-13.3128,35.2406,59.09,82,75,5.75,broken clouds
177,Godo,JP,35.4167,136.6,78.49,100,100,2.37,overcast clouds
178,Beian,NO,63.6559,9.5683,53.01,93,75,5.75,light intensity shower rain
179,Kiruna,SE,67.8557,20.2251,59.92,72,60,0.0,broken clouds
180,Bengkulu,ID,-3.8004,102.2655,73.85,90,97,2.98,overcast clouds
181,Zuenoula,CI,7.4292,-6.0431,72.55,88,22,2.62,few clouds
182,Henties Bay,NA,-22.116,14.2845,54.18,94,9,6.31,clear sky
183,Mnogovershinnyy,RU,53.9353,139.9242,56.64,99,100,1.41,overcast clouds
184,Qaanaaq,GL,77.484,-69.3632,45.45,57,5,3.83,clear sky
185,Hofn,IS,64.2539,-15.2082,51.53,67,62,12.06,broken clouds
186,Zaysan,KZ,47.4667,84.8667,65.66,58,97,3.96,overcast clouds
187,Touros,BR,-5.1989,-35.4608,78.17,78,22,13.42,few clouds
188,Yuanping,CN,38.7153,112.7575,74.25,69,1,3.09,clear sky
189,Victoria Point,AU,-27.5833,153.3,62.91,93,3,1.01,clear sky
190,Bereslavka,RU,48.6254,44.0449,79.57,38,100,10.71,overcast clouds
191,Port Augusta,AU,-32.5,137.7667,47.68,76,7,11.03,clear sky
192,Aqtobe,KZ,50.2797,57.2072,68.09,45,0,6.71,clear sky
193,Makubetsu,JP,45.3714,141.8211,64.85,93,86,5.12,overcast clouds
194,Fatezh,RU,52.0891,35.8632,66.18,88,65,7.87,broken clouds
195,Meadow Lake,US,34.8014,-106.5436,94.41,30,90,6.46,overcast clouds
196,Porto Novo,BJ,6.4965,2.6036,75.22,77,100,6.93,overcast clouds
197,Omsukchan,RU,62.5333,155.8,58.8,87,79,0.98,broken clouds
198,Bilibino,RU,68.0546,166.4372,47.19,86,100,4.79,overcast clouds
199,Tomigusuku,JP,26.185,127.675,82.17,89,20,4.61,few clouds
200,Baruun-Urt,MN,46.6806,113.2792,60.82,74,34,5.84,scattered clouds
201,Victoria,HK,22.2855,114.1577,81.25,93,100,7.0,very heavy rain
202,Lakatoro,VU,-16.0999,167.4164,78.67,80,14,7.14,few clouds
203,Fort Nelson,CA,58.8053,-122.7002,66.27,42,100,6.98,overcast clouds
204,Shimoda,JP,34.6667,138.95,73.11,92,90,10.8,overcast clouds
205,Kruisfontein,ZA,-34.0033,24.7314,52.36,91,57,4.0,broken clouds
206,Lufilufi,WS,-13.8745,-171.5986,74.79,80,97,25.72,light rain
207,Santa Maria,BR,-29.6842,-53.8069,57.02,93,83,12.73,broken clouds
208,Port Hardy,CA,50.6996,-127.4199,59.61,74,39,10.65,scattered clouds
209,Ferrol,ES,43.4832,-8.2369,68.52,90,100,17.94,overcast clouds
